Territorialidade,Posicao IDHM,IDHM,Posi  o IDHM Renda,IDHM Renda,Posi  o IDHM Educa  o,IDHM Educa  o,Posi  o IDHM Longevidade,IDHM Longevidade,Posi  o Mulheres,IDHM Mulheres,Posi  o Homens,IDHM Homens,Posi  o Negros,IDHM Negros,Posi  o Brancos,IDHM Brancos,Posi  o Urbano,IDHM Urbano,Posi  o Rural,IDHM Rural
S o Caetano do Sul (SP),1,0.862,1,0.891,2,0.811,19,0.887,,,,,,,,,,,,
 guas de S o Pedro (SP),2,0.854,12,0.849,1,0.825,11,0.89,,,,,,,,,,,,
Florian polis (SC),3,0.847,5,0.87,5,0.8,147,0.873,20,0.868,1,0.873,27,0.768,5,0.882,,,,
Balne rio Cambori  (SC),4,0.845,10,0.854,6,0.789,1,0.894,,,,,,,,,,,,
Vit ria (ES),4,0.845,3,0.876,4,0.805,551,0.855,19,0.873,5,0.822,24,0.79,1,0.904,,,,
Santos (SP),6,0.84,9,0.861,3,0.807,643,0.852,23,0.862,9,0.816,26,0.77,12,0.865,,,,
Niter i (RJ),7,0.837,2,0.887,13,0.773,581,0.854,49,0.788,29,0.778,85,0.664,17,0.854,,,,
Joa aba (SC),8,0.827,31,0.823,15,0.771,7,0.891,,,,,,,,,,,,
Bras lia (DF),9,0.824,8,0.863,73,0.742,147,0.873,27,0.851,14,0.805,25,0.789,11,0.866,,,,
Curitiba (PR),10,0.823,11,0.85,17,0.768,551,0.855,28,0.847,2,0.853,27,0.768,13,0.863,,,,
Jundia  (SP),11,0.822,24,0.834,17,0.768,276,0.866,30,0.832,4,0.836,40,0.733,19,0.853,,,,
Valinhos (SP),12,0.819,13,0.848,23,0.763,722,0.85,,,,,,,,,,,,
Vinhedo (SP),13,0.817,18,0.84,82,0.739,98,0.878,,,,,,,,,,,,
Santo Andr  (SP),14,0.815,33,0.819,16,0.769,390,0.861,35,0.816,7,0.821,43,0.73,24,0.841,,,,
Araraquara (SP),14,0.815,87,0.788,7,0.782,110,0.877,,,,,,,,,,,,
Santana de Parna ba (SP),16,0.814,3,0.876,149,0.725,759,0.849,,,,,,,,,,,,
Nova Lima (MG),17,0.813,7,0.864,305,0.704,40,0.885,,,,,,,,,,,,
Ilha Solteira (SP),18,0.812,97,0.786,7,0.782,181,0.871,,,,,,,,,,,,
